zip_code,centroid_x,centroid_y
85355,-1154450.326838684,-1183672.4515481743
85530,-955458.4425500182,-1264224.8131797665
85614,-1036206.6870147651,-1397115.779927115
85736,-1077291.2946307291,-1384615.5220568338
85928,-967574.5844714415,-1103128.0743953134
86015,-1072358.7293030443,-1010646.2850727978
86401,-1244487.8904109842,-997171.8436049152
86429,-1313976.0757228527,-965422.6825084984
86544,-816173.3654246844,-890830.6607608296
85378,-1141219.7895182467,-1178167.0237927414
84531,-874781.6511911962,-829748.0277810228
86504,-824302.7227904544,-970426.2051373151
86515,-812597.9108036995,-989307.0818986504
85043,-1132913.2965089167,-1202832.6050688394
85233,-1098445.3742369928,-1216680.7601320795
85297,-1092512.708109445,-1225789.0172865705
85323,-1144955.9428877595,-1202586.7693942392
96722,-5682009.936232322,-469565.0987584476
96748,-5538555.888516659,-749438.0313692777
96755,-5497709.311833866,-914445.8644143349
96714,-5689220.6974993935,-464547.5492886495
